nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source,marca,produto,data_ini_format,data_fim_format,date_source_format
CAIXA OITAVADA PIZZA FORNO MERCANTIL MOR,31.9,1.0,25 unidades,Embalagens,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,forno mercantil mor,caixa oitavada pizza,2024-09-23 00:00:00,2024-09-25,2024-10-09
ARROZ BRANCO TIPO 1 BERNARDO,27.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,bernardo,arroz branco tipo 1,2024-09-23 00:00:00,2024-09-25,2024-10-09
MISTURA PARA PÃO DE QUEIJO AMAFIL,48.9,1.0,5kg,Alimentos,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,amafil,mistura para pão de queijo,2024-09-23 00:00:00,2024-09-25,2024-10-09
LEITE CONDENSADO SEMIDESNATADO TRIÂNGULO MINEIRO,4.99,1.0,395g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,triângulo mineiro,leite condensado semidesnatado,2024-09-23 00:00:00,2024-09-25,2024-10-09
CREME DE LEITE PIRACANJUBA,3.19,1.0,200g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,piracanjuba,creme de leite,2024-09-23 00:00:00,2024-09-25,2024-10-09
MANTEIGA COMUM COM SAL SZURA,18.9,1.0,500g,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,szura,manteiga comum com sal,2024-09-23 00:00:00,2024-09-25,2024-10-09
CAFÉ EXTRA FORTE VOVÔ PUREZA,8.99,1.0,250g,Bebidas,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,vovô pureza,café extra forte,2024-09-23 00:00:00,2024-09-25,2024-10-09
LINGUIÇA TIPO CALABRESA DEFUMADA SABOROSA,43.9,1.0,2.5kg,Carnes,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,saborosa,linguiça tipo calabresa defumada,2024-09-23 00:00:00,2024-09-25,2024-10-09
BATATA PALITO PRÉ-FRITA CONGELADA OK FOODS,19.9,1.0,1.5kg,Congelados,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,ok foods,batata palito pré-frita congelada,2024-09-23 00:00:00,2024-09-25,2024-10-09
BEBIDA LÁCTEA FERMENTADA CATURPY,59.9,1.0,1.5kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,caturpy,bebida láctea fermentada,2024-09-23 00:00:00,2024-09-25,2024-10-09
MARGARINA VEGETAL CREMOSA COM SAL 60% LIPÍDIOS DELINE,179.0,1.0,15kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,assai,imagens_assai/campanha_25496_cluster_40_pagina_1_e5bd94150c.webp,deline,margarina vegetal cremosa com sal 60% lipídios,2024-09-23 00:00:00,2024-09-25,2024-10-09
Coxão mole bovino,28.99,32.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,bovino,coxão mole,2024-09-30 00:00:00,2024-10-03,2024-10-09
Maminha bovina,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Maminha bovina,2024-09-30 00:00:00,2024-10-03,2024-10-09
Coração da alcatra,31.9,35.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Coração da alcatra,2024-09-30 00:00:00,2024-10-03,2024-10-09
Picanha bovina congelada,69.9,79.9,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Picanha bovina congelada,2024-09-30 00:00:00,2024-10-03,2024-10-09
Salsicha para hot dog congelada Mauricea,18.9,22.9,2.5kg,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,mauricea,salsicha para hot dog congelada,2024-09-30 00:00:00,2024-10-03,2024-10-09
Galinha inteira congelada,7.79,8.98,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Galinha inteira congelada,2024-09-30 00:00:00,2024-10-03,2024-10-09
Fraldinha bovina,27.9,30.5,1kg,Carne bovina,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Fraldinha bovina,2024-09-30 00:00:00,2024-10-03,2024-10-09
Bisteca suína congelada,14.5,16.98,1kg,Carne suína,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,suína,bisteca congelada,2024-09-30 00:00:00,2024-10-03,2024-10-09
Filé de peixe merluza fish,26.9,31.9,800g,Pescados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,peixe,filé de merluza fish,2024-09-30 00:00:00,2024-10-03,2024-10-09
Lasanha tamanho família,19.9,24.9,1kg,Pratos prontos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Lasanha tamanho família,2024-09-30 00:00:00,2024-10-03,2024-10-09
Hambúrguer misto congelado,15.49,16.89,672g,Hambúrguer,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Hambúrguer misto congelado,2024-09-30 00:00:00,2024-10-03,2024-10-09
Pizza Perdigão sabores,11.99,16.9,460g,Pizza,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,perdigão,pizza sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Linguiça tipo calabresa,11.99,14.79,400g,Embutidos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Linguiça tipo calabresa,2024-09-30 00:00:00,2024-10-03,2024-10-09
Empanado de frango,37.9,43.9,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Empanado de frango,2024-09-30 00:00:00,2024-10-03,2024-10-09
Coxas,9.9,12.99,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,ox,cas,2024-09-30 00:00:00,2024-10-03,2024-10-09
sobrecoxas de frango congeladas,9.9,12.99,1kg,Aves,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,ox,sobrecas de frango congeladas,2024-09-30 00:00:00,2024-10-03,2024-10-09
Açaí tradicional,34.9,48.9,5L,Açaí,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Açaí tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Queijo mussarela,6.99,8.59,150g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Queijo mussarela,2024-09-30 00:00:00,2024-10-03,2024-10-09
prato fatiado,6.99,8.59,150g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,prato fatiado,2024-09-30 00:00:00,2024-10-03,2024-10-09
Pão de queijo tradicional,12.9,18.9,300g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Pão de queijo tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Sorvete Quy sorvetto,16.99,22.9,1.5L,Sorvetes,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,quy sorvetto,sorvete,2024-09-30 00:00:00,2024-10-03,2024-10-09
Queijo ralado natural,2.89,3.39,50g,Queijos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,,Queijo ralado natural,2024-09-30 00:00:00,2024-10-03,2024-10-09
Manteiga com sal Itacolomy,9.9,12.6,200g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,itacolomy,manteiga com sal,2024-09-30 00:00:00,2024-10-03,2024-10-09
Requeijão cremoso tradicional Betânia,6.49,8.15,220g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,betânia,requeijão cremoso tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Bebida láctea fermentada sabor morango Betânia,4.79,5.5,900g,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,betânia,bebida láctea fermentada sabor morango,2024-09-30 00:00:00,2024-10-03,2024-10-09
Bebida láctea Lêta sabores,3.49,4.19,1L,Laticínios,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,lêta,bebida láctea sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Pão de forma tradicional Misterão,3.99,4.39,500g,Padaria,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/e70fc799ec50c653a06d2ffa2330fac3a629264f.webp,misterão,pão de forma tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Biscoito Recheado Negresco Nestlé Sabores,1.89,Melhor Negócio,140g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,negresco nestlé,biscoito recheado sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Rosquinhas Sabor Coco Mabel,5.95,,800g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,mabel,rosquinhas sabor coco,2024-09-30 00:00:00,2024-10-03,2024-10-09
Bombons Sortidos Garoto,10.9,,250g,Chocolates,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,garoto,bombons sortidos,2024-09-30 00:00:00,2024-10-03,2024-10-09
Bebida Láctea Nescau Nestlé,1.99,,200ml,Bebidas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,nescau nestlé,bebida láctea,2024-09-30 00:00:00,2024-10-03,2024-10-09
Mistura para Bolo Apti Sabores,2.99,,400g,Mercearia,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,apti,mistura para bolo sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Cereal Matinal Sucrilhos Kellogg's,19.9,,1kg,Cereais,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,sucrilhos,cereal matinal kellogg's,2024-09-30 00:00:00,2024-10-03,2024-10-09
Macarrão Instantâneo Nissin Lamen Sabores,1.95,,85g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,nissin lamen,macarrão instantâneo sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Café Tradicional,17.05,10% OFF no app,500g,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,café,tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Extraforte Melitta,17.05,10% OFF no app,500g,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,melitta,extraforte,2024-09-30 00:00:00,2024-10-03,2024-10-09
Biscoito Wafer Triunfo Sabores,1.95,21% OFF no app,100g,Biscoitos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,triunfo,biscoito wafer sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Macarrão de Sêmola Sotrigo Tipos,1.95,,500g,Massas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,sotrigo,macarrão de sêmola tipos,2024-09-30 00:00:00,2024-10-03,2024-10-09
Azeite Extravirgem La Campesina,37.9,,500ml,Azeites,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,la campesina,azeite extravirgem,2024-09-30 00:00:00,2024-10-03,2024-10-09
Azeitonas Verdes com Caroço Campo Belo,10.59,,500g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,campo belo,azeitonas verdes com caroço,2024-09-30 00:00:00,2024-10-03,2024-10-09
Farinha de Mandioca Temperada Tradicional Yoki,6.99,,500g,Farinhas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,yoki,farinha de mandioca temperada tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Cápsulas Dolce Gusto Sabores,14.93,21% OFF no app,Caixa com 10 unidades,Café,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,dolce gusto,cápsulas sabores,2024-09-30 00:00:00,2024-10-03,2024-10-09
Pão de Queijo Tradicional Beni,8.92,14% OFF no app,400g,Congelados,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,beni,pão de queijo tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Polpa de Tomate Paganini,13.9,,520g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,paganini,polpa de tomate,2024-09-30 00:00:00,2024-10-03,2024-10-09
Extrato de Tomate Quero,2.99,,190g,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,extrato de tomate,2024-09-30 00:00:00,2024-10-03,2024-10-09
Maionese Tradicional Imperador,8.49,,500g,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,imperador,maionese tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Milho Verde Quero,2.49,,170g,Conservas,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,milho verde,2024-09-30 00:00:00,2024-10-03,2024-10-09
Molho Shoyu Arrifana,8.99,,1.01L,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,arrifana,molho shoyu,2024-09-30 00:00:00,2024-10-03,2024-10-09
Molho de Pimenta Tradicional Imperador,8.29,,900ml,Molhos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,imperador,molho de pimenta tradicional,2024-09-30 00:00:00,2024-10-03,2024-10-09
Maionese Quero,29.95,,3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,quero,maionese,2024-09-30 00:00:00,2024-10-03,2024-10-09
Catchup Cepêra,27.99,,3.3kg,Condimentos,30/09/2024,03/10/2024,2024_10_09,assai,imagens_assai/333_ff93a89812.webp,cepêra,catchup,2024-09-30 00:00:00,2024-10-03,2024-10-09
Viagem no navio Assaí,,Viagens no navio Assaí,,Viagem,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp,assaí,viagem no navio,2024-08-01 00:00:00,2024-11-30,2024-10-09
Prêmios diversos,,Mais de 20 milhões em prêmios,,Prêmios,01/08/2024,30/11/2024,2024_10_09,assai,imagens_assai/3e9280146ca5bc3c78f630f5da2f432ac842710e.webp,,Prêmios diversos,2024-08-01 00:00:00,2024-11-30,2024-10-09
Molho de Tomate Pomarola Tradicional,2.59,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate tradicional,2024-09-16 00:00:00,2024-09-20,2024-10-09
Molho de Tomate Pomarola,7.98,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate,2024-09-16 00:00:00,2024-09-20,2024-10-09
Molho de Tomate Chef Pomarola 3 Sabores,15.9,False,1.02kg,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,pomarola,molho de tomate chef 3 sabores,2024-09-16 00:00:00,2024-09-20,2024-10-09
Extrato de Tomate Tradicional Elefante,5.99,False,300g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,elefante,extrato de tomate tradicional,2024-09-16 00:00:00,2024-09-20,2024-10-09
Extrato de Tomate Elefante,12.9,False,840g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,elefante,extrato de tomate,2024-09-16 00:00:00,2024-09-20,2024-10-09
Limpador Limpeza Pesada UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador limpeza pesada,2024-09-16 00:00:00,2024-09-20,2024-10-09
Kit Limpador UAU,9.49,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,kit limpador,2024-09-16 00:00:00,2024-09-20,2024-10-09
Limpador Perfumado UAU,3.39,False,500ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador perfumado,2024-09-16 00:00:00,2024-09-20,2024-10-09
Limpador Perfumado UAU,11.9,False,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,limpador perfumado,2024-09-16 00:00:00,2024-09-20,2024-10-09
Lava-Roupas Líquido UAU,18.9,False,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,uau,lava-roupas líquido,2024-09-16 00:00:00,2024-09-20,2024-10-09
Requeijão Cremoso Tradicional Danone,6.49,False,200g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danone,requeijão cremoso tradicional,2024-09-16 00:00:00,2024-09-20,2024-10-09
Petit Suisse Danoninho,8.99,False,320g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danoninho,petit suisse,2024-09-16 00:00:00,2024-09-20,2024-10-09
Sobremesa Cremosa Danette,2.99,False,90g,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danette,sobremesa cremosa,2024-09-16 00:00:00,2024-09-20,2024-10-09
Iogurte Líquido Danone,11.98,False,1.35kg,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,danone,iogurte líquido,2024-09-16 00:00:00,2024-09-20,2024-10-09
Bebida Láctea YoPRO,5.99,False,250ml,Laticínios,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,yopro,bebida láctea,2024-09-16 00:00:00,2024-09-20,2024-10-09
Saco para Lixo Mega Econômico Preto,15.9,False,50 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,,Saco para Lixo Mega Econômico Preto,2024-09-16 00:00:00,2024-09-20,2024-10-09
Bombom Ferrero Rocher,19.9,False,100g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,ferrero rocher,bombom,2024-09-16 00:00:00,2024-09-20,2024-10-09
Biscoito Wafer B-Ready Nutella,3.99,False,22g,Doces,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,nutella,biscoito wafer b-ready,2024-09-16 00:00:00,2024-09-20,2024-10-09
Filé de Sardinha Gomes da Costa,7.99,False,85g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,filé de sardinha,2024-09-16 00:00:00,2024-09-20,2024-10-09
Atum Ralado Gomes da Costa,6.49,False,130g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,atum ralado,2024-09-16 00:00:00,2024-09-20,2024-10-09
Sardinha com Óleo Gomes da Costa,3.99,False,125g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,sardinha com óleo,2024-09-16 00:00:00,2024-09-20,2024-10-09
Patê de Atum Gomes da Costa,7.65,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,patê de atum,2024-09-16 00:00:00,2024-09-20,2024-10-09
Salada com Atum e Batata Gomes da Costa,7.89,False,150g,Alimentos,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/2_f7ef704b23.webp,gomes da costa,salada com atum e batata,2024-09-16 00:00:00,2024-09-20,2024-10-09
Alvejante Vanish Tipos,14.9,Leve 5 Pague 4,"1,2L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,vanish,alvejante tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Desinfetante em Pastilha Adesiva Harpic Tipos,8.99,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,harpic,desinfetante em pastilha adesiva tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Inseticida SBP Tipos,9.99,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,tipos,inseticida sbp,2024-09-16 00:00:00,2024-09-20,2024-10-09
Inseticida Aerossol SBP Tipos,15.9,,300ml,Inseticidas,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,tipos,inseticida aerossol sbp,2024-09-16 00:00:00,2024-09-20,2024-10-09
Limpador Multiuso Tradicional Veja,5.59,,750ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,veja,limpador multiuso tradicional,2024-09-16 00:00:00,2024-09-20,2024-10-09
Aparelho Descartável Venus Gillette Tipos,15.9,Leve 4 Pague 3,,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,venus gillette,aparelho descartável tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Carga Match3 Gillette Tipos,33.9,,4 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,gillette,carga match3 tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Desodorante Aerossol Old Spice Fragrâncias,10.9,,150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,old spice,desodorante aerossol fragrâncias,2024-09-16 00:00:00,2024-09-20,2024-10-09
Kit Pantene Tipos,19.9,,Shampoo 350ml + Condicionador 150ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,pantene,kit tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Shampoo Pantene Tipos,25.9,,400ml,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,pantene,shampoo tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Amaciante de Roupas Mon Bijou Fragrâncias,6.59,,"1,7L",Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,mon bijou,amaciante de roupas fragrâncias,2024-09-16 00:00:00,2024-09-20,2024-10-09
Amaciante Concentrado Mon Bijou Fragrâncias,12.59,,1L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,mon bijou,amaciante concentrado fragrâncias,2024-09-16 00:00:00,2024-09-20,2024-10-09
Desinfetante Kalipto Fragrâncias,7.89,,2L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,,Desinfetante Kalipto Fragrâncias,2024-09-16 00:00:00,2024-09-20,2024-10-09
Lava Roupas Líquido Brilhante Ação Biozyme Tipos,24.5,,3L,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,brilhante,lava roupas líquido ação biozyme tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Saponáceo Sapólio Radium Cremoso Tipos,9.59,,300ml,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,sapólio radium,saponáceo cremoso tipos,2024-09-16 00:00:00,2024-09-20,2024-10-09
Lenço de Papel Classic Box Kleenex,6.39,Leve 3 Pague 2,50 unidades,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,kleenex,lenço de papel classic box,2024-09-16 00:00:00,2024-09-20,2024-10-09
Pano Multiuso Duramax Scott,10.9,Leve 5 Pague 4,5 unidades,Limpeza,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,duramax scott,pano multiuso,2024-09-16 00:00:00,2024-09-20,2024-10-09
Papel Higiênico Neutro Folha Dupla Max Pure,11.9,Leve 12 Pague 11,20m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,max pure,papel higiênico neutro folha dupla,2024-09-16 00:00:00,2024-09-20,2024-10-09
Papel Higiênico Neutro Folha Dupla Max Pure,15.9,Leve 16 Pague 15,30m,Higiene Pessoal,16/09/2024,20/09/2024,2024_10_09,assai,imagens_assai/f0f33f76a2e03aa554e562a0c1e71f77a9ad6b7d.webp,max pure,papel higiênico neutro folha dupla,2024-09-16 00:00:00,2024-09-20,2024-10-09
